,DOI,Publisher,Funders,Funder Id,RoRID (Funder),Author(s),Article Title,Journal Name,Online Publication Date,Print Publication Date,Last Audited On,Publicly Accessible On Publisher Site,License Type,License URL,Reuse License Start Date,Agency Portal URL,Type,Added,Updated,ORCID,Grant ID,Archived,Datasets,CHORUS Verified OA,Audit Source,Funder Source
23144,10.3847/psj/ad3e80,American Astronomical Society,NASA ∣ SMD ∣ Astrophysics Division,10.13039/100020014,,Adams Elisabeth R.;Bhure Sakhee;Carlson Dallon;Dekeyser Stijn;Huang Chelsea X.;Jackson Brian;Morgenthaler Jeffrey P.;Sickafoose Amanda A.;Stubbers Hailey;Weinberg Nevin N.;Worters Hannah,Doomed Worlds. I. No New Evidence for Orbital Decay in a Long-term Survey of 43 Ultrahot Jupiters,The Planetary Science Journal,2024-07-19,2024-01-07,6/9/2024,19/7/2024,vor,http://creativecommons.org/licenses/by/4.0/,19/07/2024,,journal-article,7/8/2024,14/9/2024,,80NSSC22K0317,Yes,,Yes,CHORUS,Crossref
23145,10.3847/1538-4357/ad5287,American Astronomical Society,APSF;NASA ∣ National Aeronautics and Space Administration Postdoctoral Program,10.13039/100000879;10.13039/100023792,https://ror.org/052csg198,Rogers James G.;Schlichting Hilke E.;Young Edward D.,Fleeting but Not Forgotten: The Imprint of Escaping Hydrogen Atmospheres on Super-Earth Interiors,The Astrophysical Journal,2024-07-16,2024-01-07,6/9/2024,16/7/2024,vor,http://creativecommons.org/licenses/by/4.0/,16/07/2024,,journal-article,7/8/2024,14/9/2024,,G20211419,Yes,,Yes,CHORUS,Crossref
23146,10.1016/j.ijfatigue.2024.108428,Elsevier BV,Army Research Laboratory;Carnegie Mellon University;Case Western Reserve University;NASA,10.13039/100006754;10.13039/100008047;10.13039/100008136;10.13039/100000104,https://ror.org/011hc8f90;https://ror.org/05x2bcf33;https://ror.org/051fd9666;https://ror.org/027ka1x80,Beuth Jack L.;Gobert Christian;Lewandowski John J.;Miner Justin P.;Narra Sneha P.;Ngo Austin;Reddy Tharun;Rollett Anthony D.,Fatigue-based process window for laser beam powder bed fusion additive manufacturing,International Journal of Fatigue,,2024-10-01,17/7/2025,,vor,,,,journal-article,7/8/2024,14/9/2024,,W911NF-20-2-0175;80NSSC19M0123;MCF-677785,Yes,,Unknown,,Crossref
23148,10.1103/physrevfluids.9.074607,American Physical Society (APS),Aeronautics Research Mission Directorate,10.13039/100016821,https://ror.org/027ka1x80,Hu Xiaohan;Park George Ilhwan;Vedula Keshav,Hidden mechanism of dynamic large-eddy simulation models,Physical Review Fluids,2024-07-22,,10/9/2024,,vor,,,,journal-article,7/8/2024,14/9/2024,,80NSSC18M0155,Yes,,No,CHORUS,Crossref
23149,10.3847/2041-8213/ad614b,American Astronomical Society,NASA;NASA;NASA;NASA,10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104,https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80,Agapitov Oleksiy V.;Cattell Cynthia A.;Choi Kyung-Eun;Colomban Lucas;Redepenning Jack;Vo Tien,Enhanced Efficiency of Solar Wind Electron Interaction with Whistlers Caused by Switchback-related Magnetic Dips,The Astrophysical Journal Letters,2024-07-29,2024-01-08,6/9/2024,29/7/2024,vor,http://creativecommons.org/licenses/by/4.0/,29/07/2024,,journal-article,7/8/2024,14/9/2024,,80NSSC22K0522;80NSSC22K0433;80NSSC21K1770;80NSSC23K1630,Yes,,Yes,CHORUS,Crossref
23150,10.1093/mnras/stae1879,Oxford University Press (OUP),NASA;NCN;NKFIH;Science and Technology Facilities Council,10.13039/100000104;10.13039/501100004281;10.13039/501100011019;10.13039/501100000271,https://ror.org/027ka1x80;https://ror.org/03ha2q922;https://ror.org/03g2am276;https://ror.org/057g20z61,Borkovits T;Handler G;Jennings Z;Kurtz D W;Rappaport S A;Southworth J,Characterization of the  Scuti eclipsing binary KIC 4851217 and its tertiary companion as well as detection of tidally tilted pulsations,Monthly Notices of the Royal Astronomical Society,2024-02-08,2024-08-29,16/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,03/08/2024,,journal-article,13/9/2024,,,NAS 5-26555;2021/43/B/ST9/02972;K-147131,Unknown,,Unknown,,Crossref
23151,10.1093/mnras/stae2049,Oxford University Press (OUP),Hintze Family Charitable Foundation;NASA,10.13039/100018158;10.13039/100000104,https://ror.org/01aqw9j77;https://ror.org/027ka1x80,Carotenuto F;Cooper A J;Corbel S;Fender R;Palma I Di;Shaik G;Tetarenko A J;Zdziarski A A,Constraining the physical properties of large-scale jets from black hole X-ray binaries and their impact on the local environment with blast-wave dynamical models,Monthly Notices of the Royal Astronomical Society,2024-08-31,2024-06-09,18/9/2024,1/9/2024,vor,https://creativecommons.org/licenses/by/4.0/,01/09/2024,,journal-article,13/9/2024,,,,Unknown,,Yes,CHORUS,Crossref
23152,10.1103/physrevd.110.063525,American Physical Society (APS),NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Choi Chris;Gurgenidze Murman;Kahniashvili Tina;Magallanes Jacob,Stochastic gravitational wave background detection using NANOGrav 15-year data set in the context of massive gravity,Physical Review D,2024-10-09,,10/12/2024,,vor,,,,journal-article,14/9/2024,19/9/2024,,80NSSC22K0825;2307698,Unknown,,No,GetFTR,Crossref
23153,10.1051/0004-6361/202347094,EDP Sciences,ARC;European Research Council;HORIZON EUROPE European Research Council;Horizon 2020 Framework Programme;Ministerio de Ciencia e Innovación;Ministerio de Ciencia e Innovación;NASA;NSF;NSF;Science and Technology Facilities Council;Science and Technology Facilities Council;Science and Technology Facilities Council,10.13039/501100000923;10.13039/501100000781;10.13039/100019180;10.13039/100010661;10.13039/501100004837;10.13039/501100004837;10.13039/100000104;10.13039/100000001;10.13039/100000001;10.13039/501100000271;10.13039/501100000271;10.13039/501100000271,https://ror.org/05mmh0f86;https://ror.org/0472cxd90;https://ror.org/0472cxd90;https://ror.org/00k4n6c32;https://ror.org/05r0vyz12;https://ror.org/05r0vyz12;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/057g20z61;https://ror.org/057g20z61;https://ror.org/057g20z61,Alberts Stacey;Arribas Santiago;Baker William M.;Baum Stefi;Bhatawdekar Rachana;Bonaventura Nina;Bowler Rebecca A.A.;Boyett Kristan;Bunker Andrew J.;Cameron Alex J.;Carniani Stefano;Charlot Stephane;Chen Zuyi;Chevallard Jacopo;Circosta Chiara;Curti Mirko;Curtis-Lake Emma;D'Eugenio Francesco;DeCoursey Christa;Egami Eiichi;Eisenstein Daniel J.;Endsley Ryan;Ferruit Pierre;Giardino Giovanna;Hainline Kevin;Hausen Ryan;Hviding Raphael E.;Jakob Helton M.;Jakobsen Peter;Ji Zhiyuan;Johnson Benjamin D.;Jones Gareth C.;Kumari Nimisha;Laseter Isaac;Lützgendorf Nora;Maiolino Roberto;Maseda Michael V.;Nelson Erica;Parlanti Eleonora;Perna Michele;Pino;Rauscher Bernard J.;Rawle Tim;Rieke Marcia;Rix Hans-Walter;Robertson Brant;Rodríguez Del Bruno;Sandles Lester;Saxena Aayush;Scholtz Jan;Sharpe Katherine;Skarbinski Maya;Smit Renske;Stark Daniel P.;Sun Fengwu;Tacchella Sandro;Tobias Looser J.;Topping Michael W.;Villanueva Natalia C.;Wallace Imaan E.B.;Williams Christina C.;Willmer Christopher N.A.;Willott Chris;Witstok Joris;Woodrum Charity;de Graaff Anna;Übler Hannah,JADES NIRSpec initial data release for the Hubble Ultra Deep Field. Redshifts and line fluxes of distant galaxies from the deepest JWST Cycle 1 NIRSpec multi-object spectroscopy,Astronomy &amp; Astrophysics,2024-10-09,,,,vor,,,,journal-article,14/9/2024,,,CE170100013;101040227;695671;789056;MICIN/AEI/10.13039/501100011033;PID2021-127718NB-I00;NAS5-02015;DGE-1746060;AST 1828315;ST/W001438/1;ST/S004831/1;ST/T003596/1,Unknown,,Unknown,,Crossref
23155,10.1121/10.0028008,Acoustical Society of America (ASA),Ames Research Center;Ames Research Center;NASA Headquarters,10.13039/100006195;10.13039/100006195;10.13039/100017437,https://ror.org/02acart68;https://ror.org/02acart68;https://ror.org/027ka1x80,Banfield Don;Chaudhary Rishabh;Chiesa Luisa;Neeson Ian;White Robert D.;Zhao Zijia,Modeling and characterization of gas coupled ultrasonic transducers at low pressures and temperatures and implications for sonic anemometry on Mars,The Journal of the Acoustical Society of America,2024-08-13,2024-01-08,,,,,,,journal-article,14/9/2024,,,80NSSC20M0007;NNX16AJ24G;80NSSC23K0185,Unknown,,Unknown,,Crossref
23156,10.1016/j.srs.2024.100161,Elsevier BV,"Council of Scientific and Industrial Research, India;George Mason University;NASA",10.13039/501100001412;10.13039/100006369;10.13039/100000104,https://ror.org/021wm7p51;https://ror.org/02jqj7156;https://ror.org/027ka1x80,Armston John;Duncanson Laura;Li Xiaoxuan;Main Russell;Mathieu Renaud;Naidoo Laven;Urbazaev Mikhail;Wessels Konrad,Evaluation of GEDI footprint level biomass models in Southern African Savannas using airborne LiDAR and field measurements,Science of Remote Sensing,,2024-12-01,17/7/2025,,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,05/09/2024,,journal-article,14/9/2024,7/10/2024,,80NSSC21K0967,Unknown,,Unknown,,Crossref
23157,10.3390/life14040439,MDPI AG,NASA,10.13039/100000104,https://ror.org/027ka1x80,House Christopher;Sturtz Miranda,RETRACTED: Sturtz M.; House C. Metal Catalysis Acting on Nitriles in Early Earth Hydrothermal Systems. Life 2023 13 1524,Life,2024-03-26,,18/9/2024,26/3/2024,vor,https://creativecommons.org/licenses/by/4.0/,26/03/2024,,journal-article,17/4/2024,7/8/2024,,80NSSC18K1140;EF-1724099,Yes,,Yes,CHORUS,Crossref
23158,10.1016/j.jpowsour.2024.234442,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Khasin Michael;Kulkarni Chetan;Lawson John W.;Mehta Mohit R.,Thermal data-driven model reduction for enhanced battery health monitoring,Journal of Power Sources,,2024-06-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,09/04/2025,,journal-article,17/4/2024,14/9/2024,,,Yes,,Unknown,,Crossref
23159,10.3847/2041-8213/ad2fa5,American Astronomical Society,NASA ∣ SMD ∣ Astrophysics Division;NASA ∣ SMD ∣ Astrophysics Division;NSF;NSF,10.13039/100020014;10.13039/100020014;10.13039/100000001;10.13039/100000001,https://ror.org/021nxhr62;https://ror.org/021nxhr62,Uzdensky Dmitri A.;Werner Gregory R.,Electron and Proton Energization in 3D Reconnecting Current Sheets in Semirelativistic Plasma with Guide Magnetic Field,The Astrophysical Journal Letters,2024-03-22,2024-01-04,6/9/2024,22/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,22/03/2024,,journal-article,17/4/2024,14/9/2024,,80NSSC20K0545;80NSSC22K0828;AST-1806084;AST-1903335,Yes,,Yes,CHORUS,Crossref
23160,10.5194/amt-17-1913-2024,Copernicus GmbH,NASA,10.13039/100000104,https://ror.org/027ka1x80,Gupta Pawan;Kim Mijin;Levy Robert C.;Mattoo Shana;Remer Lorraine A.,Parameterizing spectral surface reflectance relationships for the Dark Target aerosol algorithm applied to a geostationary imager,Atmospheric Measurement Techniques,2024-04-04,,,,vor,,,,journal-article,17/4/2024,14/9/2024,,MEASURES;NNH17ZDA001N,Unknown,,Unknown,,Crossref
23161,10.1029/2023je008083,American Geophysical Union (AGU),Planetary Science Division,10.13039/100020017,https://ror.org/04cr1bk24,Sears D. W. G.;Sehlke A.;the ANGSA Science Team,The Apollo 17 Regolith: Induced Thermoluminescence Evidence for Formation by a Single Event 100 Million Years Ago and Possibly the Presence of Tycho Material,Journal of Geophysical Research: Planets,2024-03-29,2024-04-01,10/9/2024,,vor,http://onlinelibrary.wiley.com/termsAndConditions#vor,29/03/2024,,journal-article,17/4/2024,7/8/2024,,NNH18ZDA001N,Yes,,No,CHORUS,Crossref
23162,10.3847/1538-4357/ad24f9,American Astronomical Society,NASA;NASA,10.13039/100000104;10.13039/100000104,https://ror.org/027ka1x80;https://ror.org/027ka1x80,Bregman Joel N.;Miller Christopher J.;Pratt Cameron T.;Qu Zhijie,Optimizing NILC Extractions of the Thermal SunyaevZelDovich Effect with Deep Learning,The Astrophysical Journal,2024-03-22,2024-01-04,10/7/2024,22/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,22/03/2024,,journal-article,17/4/2024,7/8/2024,,AWD012791;21-ADAP21-0069,Yes,,Yes,CHORUS,Crossref
23163,10.1093/mnras/stae831,Oxford University Press (OUP),NASA,10.13039/100000104,https://ror.org/027ka1x80,Brown Peter;Krzeminski Zbyszek;Pinhas Arazi;Vida Denis,Quantifying the bulk density of southern delta aquariid meteoroids: insights from the Canadian automated meteor observatory,Monthly Notices of the Royal Astronomical Society,2024-03-21,2024-03-23,18/9/2024,22/3/2024,vor,https://creativecommons.org/licenses/by/4.0/,22/03/2024,,journal-article,17/4/2024,,,,Yes,,Yes,CHORUS,Crossref
23164,10.3847/2041-8213/ad324b,American Astronomical Society,NASA;NASA;NSF;NSF;NSF;NSF,10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62,Andrews Moira;Arendt Richard G.;Barlow Michael J.;Blair William P.;Burrows Adam;Chevalier Roger;Clayton Geoffrey;De Looze Ilse;Dickinson Danielle;Fesen Robert;Fox Ori D.;Fransson Claes;Fryer Christopher;Gomez Haley L.;Janka Hans-Thomas;Kirchschlager Florian;Koo Bon-Chul;Laming J. Martin;Lee Jae-Joon;Matsuura Mikako;Milisavljevic Dan;Niculescu-Duvaz Maria;Orlando Salvatore;Patnaude Daniel;Pavlov George G.;Pierel Justin D. R.;Pinarski Ethan;Plucinsky Paul P.;Posselt Bettina;Priestley Felix D.;Ravi Aravind P.;Raymond John C.;Rest Armin;Rho Jeonghee;Sartorio Nina S.;Schmidt Franziska;Schmidt Judy;Shahbandeh Melissa;Slane Patrick;Smith Nathan;Sravan Niharika;Subrayan Bhagya;Temim Tea;Vink Jacco;Weil Kathryn;Wesson Roger;Wheeler J. Craig,A JWST Survey of the Supernova Remnant Cassiopeia A,The Astrophysical Journal Letters,2024-04-16,2024-01-04,13/7/2024,16/4/2024,vor,http://creativecommons.org/licenses/by/4.0/,16/04/2024,,journal-article,17/4/2024,14/9/2024,,5-03127;80GSFC21M0002;PHY-2209451;AST-2206532;AST-2205314;AST-1813825,Yes,,Yes,CHORUS,Crossref
23165,10.1021/acsomega.4c00090,American Chemical Society (ACS),NASA;Office of Integrative Activities,10.13039/100000104;10.13039/100000106,https://ror.org/027ka1x80;https://ror.org/04k9mqs78,Bhattarai Mohan K.;Choudhary Sunny;Katiyar Ram S.;Meyer Harry M.;Morell Gerardo;Shweta Shweta;Thapaliya Bishnu P.;Weiner Brad R.,Exploring Lead Zirconate Titanate the Potential Advancement as an Anode for Li-Ion Batteries,ACS Omega,2024-04-17,2024-04-30,19/11/2024,17/4/2024,vor,https://creativecommons.org/licenses/by/4.0/,17/04/2024,,journal-article,19/4/2024,7/8/2024,,80NSSC19M0236;80NSSC22M0025;OIA-1849243,Yes,,Yes,GetFTR,Crossref
23166,10.1029/2023ea003355,American Geophysical Union (AGU),NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Diao Minghui;Wang Dao;Yang Ching An,Validation of SatelliteBased Cloud Phase Distributions Using GlobalScale In Situ Airborne Observations,Earth and Space Science,2024-04-25,2024-05-01,12/11/2025,25/4/2024,am,http://creativecommons.org/licenses/by-nc-nd/4.0/,25/04/2024,,journal-article,8/5/2024,13/9/2024,,ROSES‐2020 80NSSC21K1457;OPP‐1744965,Yes,,Yes,Unpaywall,Crossref
23167,10.1016/j.asoc.2024.111697,Elsevier BV,NASA Space Technology Mission Directorate,10.13039/100020022,https://ror.org/027ka1x80,Tang Jiong;Zhang Yang;Zhou Kai,Harnessing collaborative learning automata to guide multi-objective optimization based inverse analysis for structural damage identification,Applied Soft Computing,,2024-07-01,,,,,,,journal-article,8/5/2024,13/9/2024,,,Yes,,Unknown,,Crossref
23168,10.1038/s41598-024-60464-1,Springer Science and Business Media LLC,NASA;U.S. Army Corps of Engineers,10.13039/100000104;10.13039/100006752,https://ror.org/027ka1x80;https://ror.org/05w4e8v21,Carnes Josh;Hayman Matthew;Kirchhoff Grant J.;Spuler Scott M.;Stillwell Robert A.;Thayer Jeffrey P.,2D signal estimation for sparse distributed target photon counting data,Scientific Reports,2024-06-05,,10/9/2024,6/5/2024,vor,https://creativecommons.org/licenses/by/4.0,06/05/2024,,journal-article,8/5/2024,8/6/2024,,NASA 21-NSTGRO22-0326;W912HQ22C0042,Yes,,Yes,CHORUS,Crossref
23169,10.1016/j.jcp.2024.113054,Elsevier BV,NASA;Office of Naval Research,10.13039/100000104;10.13039/100000006,https://ror.org/027ka1x80;https://ror.org/00rk2pe57,Drum C.;Jordan P.M.;Lambers J.V.,On the application of Krylov subspace spectral methodologies to poroacoustic shock formation in an exponential class of inhomogeneous gases,Journal of Computational Physics,,2024-07-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,06/05/2025,,journal-article,8/5/2024,8/6/2024,,,Yes,,Unknown,,Crossref
23170,10.3847/1538-3881/ad1d5c,American Astronomical Society,Blanche Davis Moore Foundation;Brinson Foundation;EC ∣ European Research Council;Fundação de Amparo à Pesquisa do Estado de Minas Gerais;NASA Exoplanet Science Institute;NASA ∣ Aeronautics Research Mission Directorate;NASA ∣ NASA Astrobiology Institute;NSF,10.13039/100025622;10.13039/100001008;10.13039/501100000781;10.13039/501100004901;10.13039/100014227;10.13039/100016821;10.13039/100012627;10.13039/100000001,https://ror.org/00ttbk338;https://ror.org/0472cxd90;https://ror.org/00nc55f03;https://ror.org/01trfvq12;https://ror.org/027ka1x80;https://ror.org/01qxmdg18;https://ror.org/021nxhr62,Aigrain Suzanne;Alhassan Safaa;Amratlal Daval J.;Antonel Lais I.;Barragán Oscar;Beard Corey;Bedell Megan;Bentzen Simon L. S.;Bosch Milton K. D;Boyle Andrew W.;Brinkman Casey L.;Bundy David;Chitsiga Itayi;Chontos Ashley;Ciardi David R.;Clark Catherine A.;Cortes-Zuleta Pia;Delaunay Jérôme F.;Delfosse Xavier;Doisy Xavier;Eisner Nora L.;Faridani Thea H.;Ferstenou Richard;Fynø Mark;Geary James M.;Giacalone Steven;Gilbert Emily A.;Grunblatt Samuel K.;Haynaly Gerry;Hebrard Guillaume;Heidari Neda;Hermes Pete;Hogg David W.;Holcomb Rae;Howell Steve B.;Huten Marc;Jenkins Jon M.;Johnston Cole;Kiefer Flavien;Klein Baptiste;Lee Sam;Lintott Chris;Llama Joe;Lubin Jack;Martioli Eder;Mason Ian R.;Metcalfe Paul;Murphy Joseph M. Akana;Pennell Garry J.;Polanski Alex S.;Puszkarska Joanna;Saunders Nicholas;Schäfer Thomas;Seager Sara;Shporer Avi;Stassun Keivan G.;Stiller Lisa;Tanner Christopher;Tarr Allan;Tyler Dakotah;Van Zandt Judah;Wilkinson Andrew;Winn Joshua N.;Zhao Lily L.,Planet Hunters TESS. V. A Planetary System Around a Binary Star Including a Mini-Neptune in the Habitable Zone,The Astronomical Journal,2024-04-30,2024-01-05,6/9/2024,30/4/2024,vor,http://creativecommons.org/licenses/by/4.0/,30/04/2024,,journal-article,9/5/2024,14/9/2024,,1829740;1829740;885593;APQ-02493-22;80NSSC22K1606;80NM0018D0004;NNH19ZDA001N-ICAR;DGE-1842400,Yes,,Yes,CHORUS,Crossref
23171,10.1029/2023ja031997,American Geophysical Union (AGU),NASA;University of Michigan,10.13039/100000104;10.13039/100007270,https://ror.org/027ka1x80;https://ror.org/00jmfr291,Akhavan‐Tafti M.;Al Shidi Q.;Alqeeq S. W.;Atilaw T. Y.;Chen L.‐J.;Fontaine D.;Le Contel O.;Le G.;Pulkkinen T. I.;Reiff P. H.;Slavin J. A.,Magnetospheric TimeHistory in StormTime Magnetic Flux Dynamics: A Global Simulation Campaign,Journal of Geophysical Research: Space Physics,2024-02-05,2024-05-01,12/11/2025,2/5/2024,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,02/05/2024,,journal-article,9/5/2024,14/9/2024,,NNN06AA01C;80NSSC20K1847;80NSSC20K1014;80NSSC21K1662;80NSSC23K0674,Yes,,Yes,Unpaywall,Crossref
23173,10.1093/mnras/stae1159,Oxford University Press (OUP),NASA,10.13039/100000104,https://ror.org/027ka1x80,Davis Shane W;Dyda Sergei;Proga Daniel,Time-dependent AGN disc winds  I. X-ray irradiation,Monthly Notices of the Royal Astronomical Society,2024-04-30,2024-06-05,16/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,01/05/2024,,journal-article,8/6/2024,6/8/2024,,80NSSC21K0496,Yes,,Unknown,,Crossref
23174,10.3847/2041-8213/ad3079,American Astronomical Society,Heising-Simons Foundation;NASA ∣ NASA Astrobiology Institute;Simons Foundation;Southwest Research Institute,10.13039/100014155;10.13039/100012627;10.13039/100000893;10.13039/100011766,https://ror.org/01mp52y34;https://ror.org/01qxmdg18;https://ror.org/01cmst727;https://ror.org/03tghng59,Glein Christopher R.,The Geochemical Potential for Metabolic Processes on the Sub-Neptune Exoplanet K2-18b,The Astrophysical Journal Letters,2024-03-20,2024-01-04,10/7/2024,20/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,20/03/2024,,journal-article,17/4/2024,,,2023-4657;NNN13D485T;511570FY20;15-R6321,Yes,,Yes,CHORUS,Crossref
23175,10.1016/j.actaastro.2024.02.030,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Das Lopamudra;Galhena Thanuja L.;Gautam Mayank;Gordon Keith L.;Hernandez Jonathan J.;Hodge Stephen A.;King Glen C.;Wiesner Valerie L.;Wohl Christopher J.,Spray-deposition of graphene/polymer thin coatings on polyimide sheets for lunar dust adhesion mitigation,Acta Astronautica,,2024-06-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,26/03/2025,,journal-article,17/4/2024,7/10/2024,,,Yes,,Unknown,,Crossref
23176,10.1051/0004-6361/202348841,EDP Sciences,Deutsche Forschungsgemeinschaft;Deutsche Forschungsgemeinschaft;NASA,10.13039/501100001659;10.13039/501100001659;10.13039/100000104,https://ror.org/018mejw64;https://ror.org/018mejw64;https://ror.org/027ka1x80,Ballhausen Ralf;Berger Katrin;Diez Camille M.;Fürst Felix;Islam Nazma;Kretschmar Peter;Malacaria Christian;Pottschmidt Katja;Pradhan Pragati;Rothschild Richard;Sokolova-Lapa Ekaterina;Stierhof Jakob;Thalhammer Philipp;Wilms Jörn;Zainab Aafia;Zalot Nicolas,An in-depth analysis of the variable cyclotron lines in GX 3012,Astronomy &amp; Astrophysics,2024-03-06,2024-06-01,,,vor,,,,journal-article,17/4/2024,14/9/2024,,WI1860/11-2;WI1860/19-1;80GSFC21M0002,Unknown,,Unknown,,Crossref
23177,10.1016/j.icarus.2024.116056,Elsevier BV,Canadian Space Agency;NASA,10.13039/501100000016;10.13039/100000104,https://ror.org/03a1gte98;https://ror.org/027ka1x80,Ballouz R.-L.;Becker K.J.;Bennett C.A.;DellaGiustina D.N.;Golish D.R.;Lauretta D.S.;Polit A.T.;Tang Y.;Walsh K.J.;Westermann M.M.,Characterization and implications of a mass movement site in Bennus Bralgah Crater,Icarus,,2024-06-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,23/03/2025,,journal-article,17/4/2024,14/9/2024,,,Yes,,Unknown,,Crossref
23179,10.1093/mnras/stae591,Oxford University Press (OUP),NASA;NSF;Purdue University,10.13039/100000104;10.13039/100000001;10.13039/100006377,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/02dqehb95,Lyutikov Maxim,The escape of fast radio burst emission from magnetars,Monthly Notices of the Royal Astronomical Society,2024-03-15,2024-03-18,16/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,16/03/2024,,journal-article,17/4/2024,14/9/2024,,80NSSC17K0757;80NSSC20K0910;1903332;1908590,Yes,,Unknown,,Crossref
23180,10.1016/j.epsl.2024.118568,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Carrington Morgan A.;Sabbeth Leah;Smrekar Suzanne E.,Constraints on corona formation from an analysis of topographic rims and fracture annuli,Earth and Planetary Science Letters,,2024-05-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,13/03/2026,,journal-article,17/4/2024,14/9/2024,,80NM0018D0004;80NM00.18F0612,Yes,,Unknown,,Crossref
23181,10.3390/educsci14040356,MDPI AG,NASA,10.13039/100000104,https://ror.org/027ka1x80,Daehler Kirsten R.;Elsayed Rasha;Nilsen Katy;Perez Leticia R.;Wong Nicole,Centering Educators Voices in the Development of Professional Learning for Data-Rich Place-Based Science Instruction,Education Sciences,2024-03-28,,18/9/2024,28/3/2024,vor,https://creativecommons.org/licenses/by/4.0/,28/03/2024,,journal-article,17/4/2024,7/8/2024,,80NSSC22M0005,Yes,,Yes,CHORUS,Crossref
23182,10.1002/adma.202402442,Wiley,"Basic Energy Sciences;Division of Civil, Mechanical and Manufacturing Innovation;NASA Astrobiology Institute;NSF",10.13039/100006151;10.13039/100000147;10.13039/100012627;10.13039/100000001,https://ror.org/05mg91w61;https://ror.org/028yd4c30;https://ror.org/01qxmdg18;https://ror.org/021nxhr62,Balasubramanian Ganesh;Chen Wei;Chien TeYu;Kim Lauren;Rose Volker;Scougale William R.;Sharma Prince;Shirato Nozomi;Wieghold Sarah,Distinguishing Elements at the SubNanometer Scale on the Surface of a High Entropy Alloy,Advanced Materials,2024-06-05,2024-07-01,12/9/2024,,vor,http://onlinelibrary.wiley.com/termsAndConditions#vor,06/05/2024,,journal-article,8/5/2024,6/8/2024,,DE‐AC02‐06CH11357;CMMI‐1944040;#80NSSC20M0113;DMR‐2219416;DMR‐2219489,Yes,,No,CHORUS,Crossref
23184,10.1186/s40623-024-01993-x,Springer Science and Business Media LLC,Goddard Space Flight Center;Kaken Pharmaceutical;Office of Naval Research Global,10.13039/100006198;10.13039/100018736;10.13039/100007297,https://ror.org/0171mag52;https://ror.org/0059xpe44;https://ror.org/00rk2pe57,Hozumi Yuta;Liu Hanli;Saito Akinori;Sakanoi Takeshi;Yamazaki Atsushi;Yue Jia,Geographical and seasonal variations of gravity wave activities in the upper mesosphere measured by space-borne imaging of molecular oxygen nightglow,"Earth, Planets and Space",2024-07-05,,10/9/2024,7/5/2024,vor,https://creativecommons.org/licenses/by/4.0,07/05/2024,,journal-article,8/5/2024,8/6/2024,,80NSSC22K0641;JP24403008;N00014-21-1-2112,Yes,,Yes,CHORUS,Crossref
23185,10.1093/mnras/stae1010,Oxford University Press (OUP),NASA;NSF;Space Telescope Science Institute,10.13039/100000104;10.13039/100000001;10.13039/100013757,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/036f5mx38,Fu Sal Wanying;Sandford Nathan R;Weinberg David H;Weisz Daniel R,Strong outflows and inefficient star formation in the reionization-era ultrafaint dwarf galaxy Eridanus <scp>ii</scp>,Monthly Notices of the Royal Astronomical Society,2024-04-13,2024-04-13,16/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,14/04/2024,,journal-article,8/5/2024,8/6/2024,,NAS5-26555;DGE 1752814;DGE 2146752;HST-GO-15901;HST-AR-16159;HST-GO-16226;JWST DD-ERS-1334;AST-19009841,Yes,,Unknown,,Crossref
